,name,job,tool,runtime,timesaved,date
13127,Designer63,INPHI-1024470-SYRMA TEST CHIP ATE DIB-BRD-92.brd_QA_finaldrc,Waive Connected Same Net DRC,155,145042,Thu Feb 14 01:53:17 2019
13128,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-04,Extract Decaps Scheme,0,225552,Tue Jan 29 09:55:52 2019
13129,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-04,Extract Decaps Scheme,4,225341,Tue Jan 29 09:53:45 2019
13130,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-04.brd_template,Check 93K Pogo (Template) Connections,5,005239,Mon Jan 28 11:52:44 2019
13131,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-04.brd_template,Check 93K Pogo (Template) Connections,5,233134,Mon Jan 28 10:31:39 2019
13132,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-04.brd_template,Check 93K Pogo (Template) Connections,6,233641,Mon Jan 28 10:36:47 2019
13133,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-07,Check 93K Pogo Placement,2,052814,Tue Jan 29 16:28:16 2019
13134,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-11.brd_QA,Check Signal Stub,0,052901,Wed Jan 30 16:29:02 2019
13135,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25,Check FAB stack-up,3,161904,Wed Feb  6 03:19:06 2019
13136,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Check Gerber Setting,1,153926,Wed Feb  6 02:39:27 2019
13137,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Check Short At NC Pins,1,164520,Wed Feb  6 03:45:21 2019
13138,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Check Signal Stub,0,164908,Wed Feb  6 03:49:08 2019
13139,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,DRC View,1170,145125,Wed Feb  6 02:10:54 2019
13140,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,DRC View,1287,151337,Wed Feb  6 02:35:03 2019
13141,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,DRC View,170,153541,Wed Feb  6 02:38:31 2019
13142,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,DRC View,23,145014,Wed Feb  6 01:50:36 2019
13143,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Waive Connected Same Net DRC,3,144827,Wed Feb  6 01:48:30 2019
13144,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Waive Connected Same Net DRC,3,153520,Wed Feb  6 02:35:23 2019
13145,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Waive Connected Same Net DRC,4,144816,Wed Feb  6 01:48:19 2019
13146,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Waive Connected Same Net DRC,4,151128,Wed Feb  6 02:11:31 2019
13147,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Waive Connected Same Net DRC,4,151136,Wed Feb  6 02:11:40 2019
13148,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Waive Connected Same Net DRC,4,153530,Wed Feb  6 02:35:34 2019
13149,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-25.brd_QA_finaldrc,Waive Connected Same Net DRC,5,144836,Wed Feb  6 01:48:41 2019
13150,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-28.brd_QA,DRC View,247,180628,Wed Feb  6 05:10:35 2019
13151,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-28.brd_QA,DRC View,2961,182659,Wed Feb  6 06:16:20 2019
13152,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-28.brd_QA,Waive Connected Same Net DRC,19,175014,Wed Feb  6 04:50:33 2019
13153,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-28.brd_QA,Waive Connected Same Net DRC,3,172545,Wed Feb  6 04:25:48 2019
13154,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-28.brd_QA,Waive Connected Same Net DRC,4,172639,Wed Feb  6 04:26:43 2019
13155,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-31,DRC View,207,201935,Wed Feb  6 07:23:02 2019
13156,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-31,DRC View,341,201246,Wed Feb  6 07:18:27 2019
13157,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-31,DRC View,53,202718,Wed Feb  6 07:28:11 2019
13158,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-31,Waive Connected Same Net DRC,3,201153,Wed Feb  6 07:11:56 2019
13159,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-31,Waive Connected Same Net DRC,3,201221,Wed Feb  6 07:12:24 2019
13160,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-31,Waive Connected Same Net DRC,3,201234,Wed Feb  6 07:12:37 2019
13161,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-32,Create Drill Chart Fields,85,201441,Fri Feb  8 07:16:06 2019
13162,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-33.brd_QA,Check Airgap Hole To Hole,2353,141912,Fri Feb  8 01:58:25 2019
13163,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-33.brd_QA,Check Design Important,114,161935,Fri Feb  8 03:21:28 2019
13164,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-34.brd_QA,Check Design Important,63,173248,Fri Feb  8 04:33:51 2019
13165,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-34.brd_QA,DRC View,100,164732,Fri Feb  8 03:49:12 2019
13166,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-34.brd_QA,DRC View,101,165000,Fri Feb  8 03:51:41 2019
13167,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-34.brd_QA,Waive Connected Same Net DRC,7,162854,Fri Feb  8 03:29:01 2019
13168,Designer63,INPHI-1026050-POLARIS_6X7_QUAD_SITE-BRD-34.brd_QA.brd_mask,Waive same net mask to mask drc,31,173831,Fri Feb  8 04:39:02 2019
